,Input Data (common across all scenarios),,,,"Storage Volume 60ML, daily max pump rate 5ML",,,,,,,,,,,"Storage Volume 120ML, daily max pump rate 10ML",,,,,,,,,,,"Storage Volume 240ML, daily max pump rate 20ML",,,,,,,,,,
Date,Daily_Rainfall_mm,Daily_PotentialEvapotranspiration_mm,Daily_Irrigation_mm,,Date,OutFlow_WholeFarm_ML.dy-1,TP_concentration_WholeFarm_(mg/L) - Fox 2007.,P_flux_WholeFarm_kg.d-1,Storage_Volume_ML,Storage_Inflow_ML/day,Re-used_Volume_ML,Storage_Spill_ML,TP_concentration_StorageSpill_(mg/L),TP_flux_StorageSpill_kg.d-1,Direct_Runoff_ML,Date,OutFlow_WholeFarm_ML.dy-1,TP_concentration_WholeFarm_(mg/L),P_flux_WholeFarm_kg.d-1,Storage_Volume_ML,Storage_Inflow_ML/day,Re-used_Volume_ML,Storage_Spill_ML,TP_concentration_StorageSpill_(mg/L),TP_flux_StorageSpill_kg.d-1,Direct_Runoff_ML,Date,OutFlow_WholeFarm_ML.dy-1,TP_concentration_WholeFarm_(mg/L) - Fox 2007.,P_flux_WholeFarm_kg.d-1,Storage_Volume_ML,Storage_Inflow_ML/day,Re-used_Volume_ML,Storage_Spill_ML,TP_concentration_StorageSpill_(mg/L) - Fox 2007.,TP_flux_StorageSpill_kg.d-1,Direct_Runoff_ML
4/05/2022,0,1.9,0.016625,,4/05/2022,1.803718593,0.600215924,1.082620622,59.45630117,4.458622196,5,0,0,NA,1.803718593,4/05/2022,1.803718593,0.600215924,1.082620622,54.54381989,4.458622196,10,0,NA,0,1.803718593,4/05/2022,1.803718593,0.600215924,1.082620622,5.637198989,4.458622196,10.60919939,0,NA,0,1.803718593
5/05/2022,6.3,2.4,0.023125,,5/05/2022,1.296975723,0.519138528,0.673310068,58.26230769,3.801272702,5,0,0,NA,1.296975723,5/05/2022,1.296975723,0.519138528,0.673310068,48.34902095,3.801272702,10,0,NA,0,1.296975723,5/05/2022,1.296975723,0.519138528,0.673310068,4.365347286,3.801272702,5.07347909,0,NA,0,1.296975723
6/05/2022,0.2,1.6,0.025125,,6/05/2022,16.84652342,1.604197284,27.02514711,60.00005977,16.70055817,5,9.961056088,1.273056324,12.68098544,6.885309669,6/05/2022,6.885309669,1.082130353,7.450802586,55.04797355,16.70055817,10,0,NA,0,6.885309669,6/05/2022,6.885309669,1.082130353,7.450802586,17.13659308,16.70055817,3.928812557,0,NA,0,6.885309669
7/05/2022,0,1.4,0.1305,,7/05/2022,1.758149612,0.593496024,1.043454804,59.34430886,4.345979973,5,0,0,NA,1.758149612,7/05/2022,1.758149612,0.593496024,1.043454804,49.3925129,4.345979973,10,0,NA,0,1.758149612,7/05/2022,1.758149612,0.593496024,1.043454804,6.059462547,4.345979973,15.42293377,0,NA,0,1.758149612
8/05/2022,0.9,1.4,0.185375,,8/05/2022,1.264209047,0.513326355,0.648951822,57.46871573,3.125005496,5,0,0,NA,1.264209047,8/05/2022,1.264209047,0.513326355,0.648951822,42.51707551,3.125005496,10,0,NA,0,1.264209047,8/05/2022,1.264209047,0.513326355,0.648951822,3.730912887,3.125005496,5.453516292,0,NA,0,1.264209047
9/05/2022,0,1.1,0.025,,9/05/2022,0.909037834,0.443986036,0.403600104,54.71451762,2.247055765,5,0,0,NA,0.909037834,9/05/2022,0.909037834,0.443986036,0.403600104,34.76333462,2.247055765,10,0,NA,0,0.909037834,9/05/2022,0.909037834,0.443986036,0.403600104,2.62008701,2.247055765,3.357821599,0,NA,0,0.909037834
10/05/2022,0,1.2,0.021875,,10/05/2022,0.653649636,0.384012233,0.251009456,51.32899463,1.615760233,5,0,0,NA,0.653649636,10/05/2022,0.653649636,0.384012233,0.251009456,26.37843539,1.615760233,10,0,NA,0,0.653649636,10/05/2022,0.653649636,0.384012233,0.251009456,1.877721991,1.615760233,2.358078309,0,NA,0,0.653649636
